Round,Pick Number,Overall Pick,Player,Player ID,Team,Position,NFL Team,Position Rank,Eligible Slots,Acquisition Type,Season
14,11,167,Caleb Williams,4431611,SELL,QB,CHI,7.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
14,12,168,Jordan Love,4036378,ED,QB,GB,12.0,"['QB', 'OP', 'BE', 'IR']",TRADE,2025
15,1,169,Dameon Pierce,4360238,ED,,,,,,2025
15,2,170,Joshua Palmer,4242433,SELL,,,,,,2025
15,3,171,Tyler Bass,3917232,PUG,K,BUF,0.0,"['K', 'BE', 'IR']",[],2025
15,4,172,Jets D/ST,-16020,WALL,D/ST,NYJ,28.0,"['D/ST', 'BE', 'IR']",[],2025
15,5,173,Chris Boswell,17372,DAVE,K,PIT,6.0,"['K', 'BE', 'IR']",ADD,2025
15,6,174,Justice Hill,4038441,CRAIG,RB,BAL,55.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
15,7,175,Adam Thielen,16460,JAY,,,,,,2025
15,8,176,Rico Dowdle,4038815,WAKA,RB,CAR,15.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
15,9,177,Samaje Perine,3116389,HOUSE,,,,,,2025
15,10,178,Mason Taylor,4808766,FEDS,TE,NYJ,24.0,"['Rookie', 'WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
15,11,179,Harrison Butker,3055899,BIV,K,KC,15.0,"['K', 'BE', 'IR']",ADD,2025
15,12,180,Wil Lutz,2985659,HARN,K,DEN,20.0,"['K', 'BE', 'IR']",[],2025
16,1,181,Eagles D/ST,-16021,HARN,D/ST,PHI,10.0,"['D/ST', 'BE', 'IR']",ADD,2025
16,2,182,Woody Marks,4429059,BIV,RB,HOU,28.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
16,3,183,Michael Penix Jr.,4360423,FEDS,,,,,,2025
16,4,184,J.J. McCarthy,4433970,HOUSE,QB,MIN,32.0,"['QB', 'OP', 'BE', 'IR']",[],2025
16,5,185,Bills D/ST,-16002,WAKA,D/ST,BUF,9.0,"['D/ST', 'BE', 'IR']",ADD,2025
16,6,186,Roschon Johnson,4426386,JAY,,,,,,2025
16,7,187,Isaac TeSlaa,5123663,CRAIG,WR,DET,104.0,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
16,8,188,Blake Corum,4429096,DAVE,RB,LAR,44.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
16,9,189,Aaron Rodgers,8439,WALL,QB,PIT,18.0,"['QB', 'OP', 'BE', 'IR']",ADD,2025
16,10,190,Romeo Doubs,4361432,PUG,WR,GB,37.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
16,11,191,Michael Wilson,4360761,SELL,WR,ARI,28.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
16,12,192,Cardinals D/ST,-16022,ED,,,,,,2025
17,1,193,Chase McLaughlin,3150744,ED,K,TB,5.0,"['K', 'BE', 'IR']",ADD,2025
17,2,194,Darren Waller,2576925,SELL,TE,MIA,38.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
17,3,195,Amari Cooper,2976499,PUG,,,,,,2025
17,4,196,Tyler Loop,4697745,WALL,K,BAL,10.0,"['Rookie', 'K', 'BE', 'IR']",[],2025
17,5,197,DeAndre Hopkins,15795,DAVE,,,,,,2025
17,6,198,Matt Gay,4249087,CRAIG,K,SF,23.0,"['K', 'BE', 'IR']",[],2025
17,7,199,Pat Bryant,4600981,JAY,WR,DEN,83.0,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
17,8,200,Ka'imi Fairbairn,2971573,WAKA,K,HOU,4.0,"['K', 'BE', 'IR']",ADD,2025
17,9,201,Ray-Ray McCloud III,3728262,HOUSE,,,,,,2025
17,10,202,Tre' Harris,4686612,FEDS,,,,,,2025
17,11,203,Patriots D/ST,-16017,BIV,D/ST,NE,6.0,"['D/ST', 'BE', 'IR']",ADD,2025
17,12,204,Zach Ertz,15835,HARN,TE,WSH,11.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
1,1,1,Christian McCaffrey,3117251,PUG,RB,SF,69.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
1,2,2,CeeDee Lamb,4241389,CRAIG,WR,DAL,8.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
1,3,3,Breece Hall,4427366,FEDS,RB,NYJ,16.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
1,4,4,Bijan Robinson,4430807,HOUSE,RB,ATL,3.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
1,5,5,Amon-Ra St. Brown,4374302,JAY,WR,DET,3.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
1,6,6,Tyreek Hill,3116406,ED,WR,MIA,18.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
1,7,7,Justin Jefferson,4262921,DAVE,WR,MIN,2.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
1,8,8,Ja'Marr Chase,4362628,SELL,WR,CIN,1.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
1,9,9,Jonathan Taylor,4242335,WAKA,RB,IND,12.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
1,10,10,Saquon Barkley,3929630,WALL,RB,PHI,2.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
1,11,11,A.J. Brown,4047646,BIV,WR,PHI,20.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
1,12,12,Puka Nacua,4426515,HARN,WR,LAR,26.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
2,1,13,Jahmyr Gibbs,4429795,HARN,RB,DET,1.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
2,2,14,Garrett Wilson,4569618,BIV,WR,NYJ,10.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
2,3,15,Michael Pittman Jr.,4035687,WALL,WR,IND,41.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
2,4,16,Davante Adams,16800,WAKA,WR,LAR,11.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
2,5,17,Isiah Pacheco,4361529,SELL,RB,KC,64.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
2,6,18,Travis Etienne Jr.,4239996,DAVE,RB,JAX,35.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
2,7,19,Derrick Henry,3043078,ED,RB,BAL,4.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
2,8,20,Marvin Harrison Jr.,4432708,JAY,WR,ARI,30.0,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
2,9,21,Deebo Samuel Sr.,3126486,HOUSE,WR,WSH,44.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
2,10,22,Mike Evans,16737,FEDS,WR,TB,14.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
2,11,23,Kyren Williams,4430737,CRAIG,RB,LAR,7.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
2,12,24,Josh Jacobs,4047365,PUG,RB,GB,6.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
3,1,25,Chris Olave,4361370,PUG,WR,NO,94.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
3,2,26,Nico Collins,4258173,CRAIG,WR,HOU,23.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
3,3,27,Drake London,4426502,FEDS,WR,ATL,5.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
3,4,28,Josh Allen,3918298,HOUSE,QB,BUF,2.0,"['QB', 'OP', 'BE', 'IR']",TRADE,2024
3,5,29,James Cook,4379399,JAY,RB,BUF,8.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
3,6,30,Jalen Hurts,4040715,ED,QB,PHI,8.0,"['QB', 'OP', 'BE', 'IR']",TRADE,2024
3,7,31,Kenneth Walker III,4567048,DAVE,RB,SEA,27.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2024
3,8,32,Alvin Kamara,3054850,SELL,RB,NO,9.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2024
